"GEO/TIME"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"
"Hungary"	":"	":"	":"	":"	":"	"2.9"	"2.3"	"2.1"	"2.2"	"2.2"	"2"	"1.9"	"1.9"	"2.1"	"1.9"	"1.9"	"2.2"	"2.3"	"2.3"	"2.4"	"2.6"	"2.5"	"2.3"	"2.2"	":"
"Malta"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	"1.2"	"1.3"	"1.2"	"1.2"	"1.1"	"1"	"1"	"1.2"	"1.2"	"1.2"	"1.2"	"1"	"1.1"	":"
"Netherlands"	":"	":"	":"	":"	":"	"1"	".9"	".9"	".9"	".8"	".8"	".8"	".8"	".8"	".8"	".8"	".8"	"1"	"1.2"	"1.3"	"1.2"	"1.2"	"1.1"	"1"	":"
"Austria"	":"	":"	":"	":"	":"	"3.2"	"3.1"	"2.8"	"2.6"	"2.8"	"2.9"	"2.8"	"2.8"	"2.9"	"2.8"	"2.8"	"2.6"	"2.5"	"2.6"	"2.7"	"2.7"	"2.4"	"2.4"	"2.4"	"2.3"
"Poland"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	"1.3"	"1.3"	".9"	"1.1"	"1.2"	"1.2"	"1.2"	"1.3"	"1.3"	"1.2"	"1.2"	"1.3"	":"
"Portugal"	":"	":"	":"	":"	":"	".9"	".9"	".9"	"1.2"	"1.2"	"1.2"	"1.3"	"1.4"	"1.5"	"1.6"	"1.5"	"1.3"	"1.2"	"1.3"	"1.4"	"1.3"	"1.1"	"1.1"	"1.1"	":"
"Romania"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	"1"	".9"	".8"	":"
"Slovenia"	":"	":"	":"	":"	":"	":"	":"	":"	":"	"1.7"	"2"	"1.9"	"1.9"	"2"	"2"	"2"	"1.9"	"1.8"	"1.9"	"2.3"	"2.4"	"2.4"	"2.3"	"2.2"	":"
"Slovakia"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	".4"	"1.2"	"1.3"	"1.3"	"1.4"	"1.3"	"1.6"	"1.6"	"1.6"	"1.5"	"1.5"	":"
"Finland"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	"3"	"3"	"3"	"3"	"3"	"2.9"	"2.8"	"2.9"	"3.3"	"3.2"	"3.2"	"3.3"	"3.4"	":"
"Sweden"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	"2.8"	"2.6"	"2.6"	"2.5"	"2.5"	"2.5"	"2.4"	"2.4"	"2.6"	"2.5"	"2.5"	"2.5"	"2.5"	":"
"United Kingdom"	":"	":"	":"	":"	":"	":"	":"	"2.1"	"2"	"1.8"	"1.8"	"1.9"	"2"	"2.4"	"2.8"	"2.8"	"2.8"	"2.5"	"2.3"	"2.5"	"2.4"	"2.2"	"2"	"1.7"	":"
"Iceland"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	"2.4"	":"
"Norway"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	"3.3"	"3.3"	"3.3"	"3.1"	"3"	"3.1"	"3"	"3.5"	"3.4"	"3.3"	"3.3"	"3.3"	":"
"Switzerland"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	".4"	".4"	".4"	".4"	".5"	".5"	".5"	".6"	".5"	":"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Special value:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
":"	"not available"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
