
="",="(1)",="(2)"
="",="lnStayLength",="lnStayLength"

="Abraham",="0",="0"
="",="(.)",="(.)"

="Andrew",="-0.0727*",="-0.0727*"
="",="(-1.97)",="(-1.97)"

="Anne",="-0.0447",="-0.0447"
="",="(-1.19)",="(-1.19)"

="Audrey",="-0.0137",="-0.0137"
="",="(-0.39)",="(-0.39)"

="Barack",="-0.0603",="-0.0603"
="",="(-1.64)",="(-1.64)"

="Beatrix",="-0.0463",="-0.0463"
="",="(-1.41)",="(-1.41)"

="Benazir",="-0.0564",="-0.0564"
="",="(-1.47)",="(-1.47)"

="Benjamin",="-0.0149",="-0.0149"
="",="(-0.43)",="(-0.43)"

="Bill",="-0.0191",="-0.0191"
="",="(-0.54)",="(-0.54)"

="Calvin",="-0.00894",="-0.00894"
="",="(-0.27)",="(-0.27)"

="Chester",="-0.00836",="-0.00836"
="",="(-0.19)",="(-0.19)"

="Diana",="-0.0617",="-0.0617"
="",="(-1.74)",="(-1.74)"

="Dwight",="-0.0709*",="-0.0709*"
="",="(-2.07)",="(-2.07)"

="Eleanor",="0.0662",="0.0662"
="",="(1.63)",="(1.63)"

="Elizabeth",="-0.0746",="-0.0746"
="",="(-1.45)",="(-1.45)"

="Franklin",="-0.0210",="-0.0210"
="",="(-0.59)",="(-0.59)"

="George",="0.0400",="0.0400"
="",="(1.11)",="(1.11)"

="Gerald",="-0.0354",="-0.0354"
="",="(-1.07)",="(-1.07)"

="Grover",="-0.0237",="-0.0237"
="",="(-0.62)",="(-0.62)"

="Harry",="-0.00745",="-0.00745"
="",="(-0.22)",="(-0.22)"

="Herbert",="-0.0304",="-0.0304"
="",="(-0.73)",="(-0.73)"

="Hillary",="0.0356",="0.0356"
="",="(0.95)",="(0.95)"

="Ingrid",="-0.0376",="-0.0376"
="",="(-1.10)",="(-1.10)"

="Jacqueline",="0.0473",="0.0473"
="",="(1.13)",="(1.13)"

="James",="-0.0391",="-0.0391"
="",="(-0.92)",="(-0.92)"

="Jimmy",="0.0286",="0.0286"
="",="(0.79)",="(0.79)"

="John",="-0.0183",="-0.0183"
="",="(-0.46)",="(-0.46)"

="Kate",="-0.00731",="-0.00731"
="",="(-0.19)",="(-0.19)"

="Katharine",="0.0255",="0.0255"
="",="(0.52)",="(0.52)"

="Lyndon",="-0.0331",="-0.0331"
="",="(-0.82)",="(-0.82)"

="Martin",="-0.0180",="-0.0180"
="",="(-0.54)",="(-0.54)"

="Oprah",="0.00120",="0.00120"
="",="(0.03)",="(0.03)"

="Richard",="0.0163",="0.0163"
="",="(0.41)",="(0.41)"

="Ronald",="-0.0483",="-0.0483"
="",="(-1.30)",="(-1.30)"

="Teresa",="-0.104*",="-0.104*"
="",="(-2.45)",="(-2.45)"

="Thomas",="-0.0518",="-0.0518"
="",="(-0.60)",="(-0.60)"

="Ulysses",="0.0405",="0.0405"
="",="(1.01)",="(1.01)"

="Victoria",="0.160",="0.160"
="",="(1.34)",="(1.34)"

="Virginia",="-0.0290",="-0.0290"
="",="(-0.82)",="(-0.82)"

="Warren",="-0.0236",="-0.0236"
="",="(-0.68)",="(-0.68)"

="Whoopi",="-0.0265",="-0.0265"
="",="(-0.81)",="(-0.81)"

="William",="-0.0324",="-0.0324"
="",="(-0.82)",="(-0.82)"

="Woodrow",="0.00852",="0.00852"
="",="(0.23)",="(0.23)"

="Observations",="8822",="8822"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
