
="",="(1)",="(2)"
="",="lnStayLength",="lnStayLength"

="Abraham",="0",="0"
="",="(.)",="(.)"

="Andrew",="-0.0727*",="-0.0738*"
="",="(-1.97)",="(-1.99)"

="Anne",="-0.0447",="-0.0446"
="",="(-1.19)",="(-1.19)"

="Audrey",="-0.0137",="-0.0141"
="",="(-0.39)",="(-0.40)"

="Barack",="-0.0603",="-0.0596"
="",="(-1.64)",="(-1.63)"

="Beatrix",="-0.0463",="-0.0482"
="",="(-1.41)",="(-1.47)"

="Benazir",="-0.0564",="-0.0568"
="",="(-1.47)",="(-1.48)"

="Benjamin",="-0.0149",="-0.0157"
="",="(-0.43)",="(-0.45)"

="Bill",="-0.0191",="-0.0195"
="",="(-0.54)",="(-0.55)"

="Calvin",="-0.00894",="-0.00994"
="",="(-0.27)",="(-0.30)"

="Chester",="-0.00836",="-0.00982"
="",="(-0.19)",="(-0.23)"

="Diana",="-0.0617",="-0.0612"
="",="(-1.74)",="(-1.72)"

="Dwight",="-0.0709*",="-0.0725*"
="",="(-2.07)",="(-2.12)"

="Eleanor",="0.0662",="0.0664"
="",="(1.63)",="(1.65)"

="Elizabeth",="-0.0746",="-0.0751"
="",="(-1.45)",="(-1.46)"

="Franklin",="-0.0210",="-0.0201"
="",="(-0.59)",="(-0.57)"

="George",="0.0400",="0.0370"
="",="(1.11)",="(1.03)"

="Gerald",="-0.0354",="-0.0361"
="",="(-1.07)",="(-1.09)"

="Grover",="-0.0237",="-0.0236"
="",="(-0.62)",="(-0.62)"

="Harry",="-0.00745",="-0.00966"
="",="(-0.22)",="(-0.29)"

="Herbert",="-0.0304",="-0.0306"
="",="(-0.73)",="(-0.74)"

="Hillary",="0.0356",="0.0361"
="",="(0.95)",="(0.96)"

="Ingrid",="-0.0376",="-0.0403"
="",="(-1.10)",="(-1.18)"

="Jacqueline",="0.0473",="0.0481"
="",="(1.13)",="(1.16)"

="James",="-0.0391",="-0.0390"
="",="(-0.92)",="(-0.92)"

="Jimmy",="0.0286",="0.0266"
="",="(0.79)",="(0.73)"

="John",="-0.0183",="-0.0217"
="",="(-0.46)",="(-0.55)"

="Kate",="-0.00731",="-0.0128"
="",="(-0.19)",="(-0.33)"

="Katharine",="0.0255",="0.0222"
="",="(0.52)",="(0.45)"

="Lyndon",="-0.0331",="-0.0327"
="",="(-0.82)",="(-0.81)"

="Martin",="-0.0180",="-0.0179"
="",="(-0.54)",="(-0.54)"

="Oprah",="0.00120",="-0.00113"
="",="(0.03)",="(-0.03)"

="Richard",="0.0163",="0.0174"
="",="(0.41)",="(0.44)"

="Ronald",="-0.0483",="-0.0493"
="",="(-1.30)",="(-1.33)"

="Teresa",="-0.104*",="-0.104*"
="",="(-2.45)",="(-2.46)"

="Thomas",="-0.0518",="-0.0592"
="",="(-0.60)",="(-0.68)"

="Ulysses",="0.0405",="0.0370"
="",="(1.01)",="(0.93)"

="Victoria",="0.160",="0.175"
="",="(1.34)",="(1.50)"

="Virginia",="-0.0290",="-0.0296"
="",="(-0.82)",="(-0.84)"

="Warren",="-0.0236",="-0.0235"
="",="(-0.68)",="(-0.68)"

="Whoopi",="-0.0265",="-0.0275"
="",="(-0.81)",="(-0.84)"

="William",="-0.0324",="-0.0313"
="",="(-0.82)",="(-0.80)"

="Woodrow",="0.00852",="0.00945"
="",="(0.23)",="(0.25)"

="waiting",="",="0.0111"
="",="",="(0.68)"

="inTreat",="",="-0.00794***"
="",="",="(-3.62)"

="Observations",="8822",="8822"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
